Platform,Tier,Harga (USD/mo),RAM (GB),Storage (GB),Slot Pemain,Uptime (%),vCPU
PebbleHost,Basic,0.0029404178366453804,0.004761567361205581,0.00234655328061424,0.00264322361547896,0.02986423664505245,0.011555568236570175
PebbleHost,Standard,0.005880835673290781,0.009523134722411161,0.00469310656122849,0.00528644723095793,0.02986423664505245,0.011555568236570175
PebbleHost,Pro,0.01176167134658158,0.019046269444822322,0.009386213122456992,0.01057289446191586,0.02986423664505245,0.02311113647314035
PebbleHost,Elite,0.023523342693163182,0.038092538889644645,0.01877242624491399,0.02114578892383172,0.02986423664505245,0.02311113647314035
ScalaCube,Entry,0.00245034819720448,0.00238078368060278,0.00234655328061424,0.00132161180773948,0.0299511035319839,0.00577778411828508
ScalaCube,Small,0.004890895001620181,0.004761567361205581,0.00469310656122849,0.00264322361547896,0.0299511035319839,0.00577778411828508
ScalaCube,Medium,0.01959298418484716,0.019046269444822322,0.009386213122456992,0.00528644723095793,0.0299511035319839,0.011555568236570175
ScalaCube,Large,0.039195769762483165,0.038092538889644645,0.01407931968368549,0.00792967084643689,0.0299511035319839,0.02311113647314035
ScalaCube,XL,0.07840134091775516,0.0761850777792893,0.023465532806142483,0.01321611807739482,0.0299511035319839,0.04622227294628071
Apex Hosting,Basic,0.007341243198824681,0.004761567361205581,0.00234655328061424,0.00264322361547896,0.0299241448429362,0.011555568236570175
Apex Hosting,Standard,0.014692287790438161,0.009523134722411161,0.00469310656122849,0.00528644723095793,0.0299241448429362,0.011555568236570175
Apex Hosting,Pro,0.029394376973665162,0.019046269444822322,0.009386213122456992,0.01057289446191586,0.0299241448429362,0.02311113647314035
Apex Hosting,Elite,0.058798555340119164,0.038092538889644645,0.01877242624491399,0.02114578892383172,0.0299241448429362,0.02311113647314035
MCProHosting,Dirt,0.00587103428050198,0.004761567361205581,0.00234655328061424,0.00264322361547896,0.0299241448429362,0.011555568236570175
MCProHosting,Stone,0.01175186995379276,0.009523134722411161,0.00469310656122849,0.00528644723095793,0.0299241448429362,0.011555568236570175
MCProHosting,Iron,0.023513541300374363,0.019046269444822322,0.009386213122456992,0.01057289446191586,0.0299241448429362,0.02311113647314035
MCProHosting,Gold,0.04703688399353756,0.038092538889644645,0.01877242624491399,0.02114578892383172,0.0299241448429362,0.02311113647314035
Sparked Host,Basic,0.00098013927888178,0.004761567361205581,0.00234655328061424,0.00264322361547896,0.0299241448429362,0.00577778411828508
Sparked Host,Standard,0.005880835673290781,0.009523134722411161,0.00469310656122849,0.00528644723095793,0.0299241448429362,0.011555568236570175
Sparked Host,Pro,0.01176167134658158,0.019046269444822322,0.009386213122456992,0.01057289446191586,0.0299241448429362,0.02311113647314035
Sparked Host,Elite,0.023523342693163182,0.038092538889644645,0.01877242624491399,0.02114578892383172,0.0299241448429362,0.02311113647314035
Hostinger,Panel1,0.006851173559383781,0.009523134722411161,0.005866383201535621,0.00528644723095793,0.0299241448429362,0.00577778411828508
Hostinger,Panel2,0.00930152175658828,0.019046269444822322,0.011732766403071242,0.01057289446191586,0.0299241448429362,0.011555568236570175
Hostinger,Panel4,0.013712148511556381,0.038092538889644645,0.023465532806142483,0.02114578892383172,0.0299241448429362,0.02311113647314035
Hostinger,Panel8,0.02743409841590156,0.0761850777792893,0.046931065612284974,0.04229157784766344,0.0299241448429362,0.04622227294628071
Nodecraft,Lite2GB,0.00584163010213552,0.004761567361205581,0.00234655328061424,0.00264322361547896,0.0299241448429362,0.00577778411828508
Nodecraft,Lite4GB,0.01168326020427104,0.009523134722411161,0.00469310656122849,0.00528644723095793,0.0299241448429362,0.00577778411828508
Nodecraft,Lite8GB,0.0233665204085421,0.019046269444822322,0.009386213122456992,0.01057289446191586,0.0299241448429362,0.011555568236570175
Nodecraft,Lite16GB,0.0467330408170842,0.038092538889644645,0.01877242624491399,0.02114578892383172,0.0299241448429362,0.02311113647314035
Nodecraft,Prem2GB,0.009781790003240361,0.004761567361205581,0.00234655328061424,0.00264322361547896,0.0299241448429362,0.00577778411828508
Nodecraft,Prem4GB,0.01958318279205836,0.009523134722411161,0.00469310656122849,0.00528644723095793,0.0299241448429362,0.011555568236570175
Nodecraft,Prem8GB,0.039185968369694346,0.019046269444822322,0.009386213122456992,0.01057289446191586,0.0299241448429362,0.02311113647314035
Nodecraft,Prem16GB,0.07839153952496634,0.038092538889644645,0.01877242624491399,0.02114578892383172,0.0299241448429362,0.02311113647314035
GGServers,Basic,0.0029404178366453804,0.004761567361205581,0.00234655328061424,0.0007929670846436801,0.0299241448429362,0.00577778411828508
GGServers,Standard,0.005880835673290781,0.009523134722411161,0.00469310656122849,0.00158593416928737,0.0299241448429362,0.011555568236570175
GGServers,Premium,0.01176167134658158,0.019046269444822322,0.009386213122456992,0.0031718683385747503,0.0299241448429362,0.02311113647314035
Akliz,Standard,0.00441062675496808,0.004761567361205581,0.00351982992092137,0.00264322361547896,0.0299241448429362,0.00577778411828508
Akliz,Advanced,0.00833118387049528,0.009523134722411161,0.00703965984184274,0.00528644723095793,0.0299241448429362,0.011555568236570175
Akliz,Premium,0.01568222846210878,0.019046269444822322,0.01407931968368549,0.01057289446191586,0.0299241448429362,0.02311113647314035
Godlike.host,Basic,0.006263089992054701,0.004761567361205581,0.00234655328061424,0.00264322361547896,0.0299241448429362,0.011555568236570175
Godlike.host,Standard,0.012535981376898202,0.009523134722411161,0.00469310656122849,0.00528644723095793,0.0299241448429362,0.011555568236570175
Godlike.host,Pro,0.02508176414658524,0.019046269444822322,0.009386213122456992,0.01057289446191586,0.0299241448429362,0.02311113647314035
Godlike.host,Elite,0.06369925173452816,0.0761850777792893,0.03754485248982798,0.04229157784766344,0.0299241448429362,0.04622227294628071
Host Havoc,Basic,0.00392055711552718,0.004761567361205581,0.00234655328061424,0.00264322361547896,0.0299241448429362,0.00577778411828508
Host Havoc,Standard,0.00784111423105438,0.009523134722411161,0.00469310656122849,0.00528644723095793,0.0299241448429362,0.011555568236570175
Host Havoc,Advanced,0.01568222846210878,0.019046269444822322,0.009386213122456992,0.01057289446191586,0.0299241448429362,0.02311113647314035
ServerMiner,Basic,0.004900696394408981,0.004761567361205581,0.00234655328061424,0.00264322361547896,0.0299241448429362,0.00577778411828508
ServerMiner,Standard,0.00980139278881798,0.009523134722411161,0.00469310656122849,0.00528644723095793,0.0299241448429362,0.011555568236570175
ServerMiner,Premium,0.019602785577635982,0.019046269444822322,0.009386213122456992,0.01057289446191586,0.0299241448429362,0.02311113647314035
G-Portal,Basic,0.00475367550257672,0.004761567361205581,0.00351982992092137,0.00264322361547896,0.0299241448429362,0.00577778411828508
G-Portal,Standard,0.00950735100515344,0.009523134722411161,0.00703965984184274,0.00528644723095793,0.0299241448429362,0.011555568236570175
G-Portal,Premium,0.019014702010306903,0.019046269444822322,0.01407931968368549,0.01057289446191586,0.0299241448429362,0.02311113647314035
exaroton,PayGo,0.00980139278881798,0.009523134722411161,0.00117327664030712,0.00528644723095793,0.0298043284471687,0.011555568236570175
Pine Hosting,Standard,0.00411658497130354,0.004761567361205581,0.00351982992092137,0.00264322361547896,0.029894190743994326,0.00577778411828508
CloudNord,Basic,0.004900696394408981,0.004761567361205581,0.00234655328061424,0.00264322361547896,0.0299241448429362,0.00577778411828508
