Platform,Tier,Harga (USD/mo),RAM (GB),Storage (GB),Slot Pemain,Uptime (%),vCPU
GGServers,Standard,0.02940417836645399,0.04761567361205581,0.046931065612284974,0.015859341692873792,0.11969657937174487,0.07703712157713453
GGServers,Premium,0.05880835673290798,0.09523134722411163,0.09386213122456995,0.031718683385747584,0.11969657937174487,0.15407424315426907
Akliz,Standard,0.022053133774840493,0.023807836806027907,0.03519829920921373,0.02643223615478965,0.11969657937174487,0.03851856078856727
Akliz,Advanced,0.041655919352476485,0.04761567361205581,0.07039659841842746,0.0528644723095793,0.11969657937174487,0.07703712157713453
Akliz,Premium,0.07841114231054398,0.09523134722411163,0.14079319683685493,0.1057289446191586,0.11969657937174487,0.15407424315426907
Godlike.host,Basic,0.0313154499602735,0.023807836806027907,0.023465532806142487,0.02643223615478965,0.11969657937174487,0.07703712157713453
Godlike.host,Standard,0.06267990688449109,0.04761567361205581,0.046931065612284974,0.0528644723095793,0.11969657937174487,0.07703712157713453
Godlike.host,Pro,0.12540882073292628,0.09523134722411163,0.09386213122456995,0.1057289446191586,0.11969657937174487,0.15407424315426907
Godlike.host,Elite,0.3184962586726408,0.3809253888964465,0.3754485248982798,0.4229157784766344,0.11969657937174487,0.30814848630853814
Host Havoc,Basic,0.019602785577635996,0.023807836806027907,0.023465532806142487,0.02643223615478965,0.11969657937174487,0.03851856078856727
Host Havoc,Standard,0.03920557115527199,0.04761567361205581,0.046931065612284974,0.0528644723095793,0.11969657937174487,0.07703712157713453
Host Havoc,Advanced,0.07841114231054398,0.09523134722411163,0.09386213122456995,0.1057289446191586,0.11969657937174487,0.15407424315426907
ServerMiner,Basic,0.024503481972044994,0.023807836806027907,0.023465532806142487,0.02643223615478965,0.11969657937174487,0.03851856078856727
ServerMiner,Standard,0.04900696394408999,0.04761567361205581,0.046931065612284974,0.0528644723095793,0.11969657937174487,0.07703712157713453
ServerMiner,Premium,0.09801392788817997,0.09523134722411163,0.09386213122456995,0.1057289446191586,0.11969657937174487,0.15407424315426907
G-Portal,Basic,0.023768377512883642,0.023807836806027907,0.03519829920921373,0.02643223615478965,0.11969657937174487,0.03851856078856727
G-Portal,Standard,0.047536755025767284,0.04761567361205581,0.07039659841842746,0.0528644723095793,0.11969657937174487,0.07703712157713453
G-Portal,Premium,0.09507351005153457,0.09523134722411163,0.14079319683685493,0.1057289446191586,0.11969657937174487,0.15407424315426907
exaroton,PayGo,0.04900696394408999,0.04761567361205581,0.011732766403071243,0.0528644723095793,0.11921731378867481,0.07703712157713453
Pine Hosting,Standard,0.020582924856517797,0.023807836806027907,0.03519829920921373,0.02643223615478965,0.11957676297597734,0.03851856078856727
CloudNord,Basic,0.024503481972044994,0.023807836806027907,0.023465532806142487,0.02643223615478965,0.11969657937174487,0.03851856078856727
